SystemA,SystemB,micro_hits@1,micro_hits@2,micro_hits@3,micro_hits@4,micro_hits@5,micro_hits@6,micro_hits@7,micro_hits@8,micro_hits@9,micro_hits@10,micro_mr,micro_mrr,macro_hits@1,macro_hits@2,macro_hits@3,macro_hits@4,macro_hits@5,macro_hits@6,macro_hits@7,macro_hits@8,macro_hits@9,macro_hits@10,macro_mr,macro_mrr,map,gm_map,Rprec,bpref,recip_rank,P_5,P_10,P_20,P_30,P_40,P_50,P_60,P_70,P_80,P_90,P_100,P_120,P_150,P_200,P_300,P_500,P_1000,recall_5,recall_10,recall_20,recall_30,recall_40,recall_50,recall_60,recall_70,recall_80,recall_90,recall_100,recall_120,recall_150,recall_200,recall_300,recall_500,recall_1000,infAP,gm_bpref,binG,G,ndcg,ndcg_rel,Rndcg,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_30,ndcg_cut_40,ndcg_cut_50,ndcg_cut_60,ndcg_cut_70,ndcg_cut_80,ndcg_cut_90,ndcg_cut_100,ndcg_cut_120,ndcg_cut_150,ndcg_cut_200,ndcg_cut_300,ndcg_cut_500,ndcg_cut_1000,map_cut_5,map_cut_10,map_cut_20,map_cut_30,map_cut_40,map_cut_50,map_cut_60,map_cut_70,map_cut_80,map_cut_90,map_cut_100,map_cut_120,map_cut_150,map_cut_200,map_cut_300,map_cut_500,map_cut_1000
wn18rr-atte,wn18rr-bique,0.00033662146017028637,3.326747439912285e-05,0.0020182905849245054,0.0028310200163983805,0.0009475425773448906,5.783372379379873e-05,0.001341851329658968,0.006107957802245128,0.003388582104614936,0.00022967802409506262,1.6500433319233874e-18,1.1849013225491651e-06,0.017819275070185922,0.0130729475812022,0.07013132557212945,0.08532069909360827,0.06199697573960978,0.006059918997451442,0.02847853231877914,0.15113018073176085,0.12437739267271418,0.03701087102226154,1.6184306757095365e-14,0.002678541414105212,0.009569761767658528,0.3495307145882238,0.023428764702174656,0.12711089456972038,0.0026752048672466426,0.007010965448089109,0.0013694464067390234,0.08416572154882818,0.39506265579572897,0.2230481396256216,0.964440530651715,0.8207795813722556,0.861038376985044,0.4871060183414292,0.4337447915169469,0.51576825648768,0.9371911308307086,0.3666624734957271,0.4119160689642376,0.8944346964638937,0.7342278003760698,0.5780546964348895,0.16452148321586615,0.08613763885549748,0.6328368096716611,0.4516469034868844,0.649267085391521,0.07217485516733801,0.09247369289172266,0.10376567604520591,0.03592717138928119,0.024335268033434415,0.04591892419830567,0.18328374555766883,0.5687377394439775,0.644173169188422,0.15193767233477273,0.10104326158355137,0.12711089456972038,0.009569798271395416,0.11329268635226189,0.046943494711093936,0.046943494711093936,0.035300386378143374,0.024548091333306796,0.017889468003869383,0.011490068145139566,0.0036714459425276867,0.0107606614577613,0.03017406976538849,0.02054209988862122,0.05305941538648534,0.04883166015978859,0.04650002573216467,0.06455076085230482,0.0722568057438835,0.061967442558069435,0.03813601932420053,0.02160934821520117,0.019857519415726735,0.033647900667440195,0.038260115053322497,0.035300386378143374,0.01579751278979826,0.00692613530393102,0.007924521880131792,0.009154928776770573,0.008743407438685156,0.009921134093094523,0.009899370026422046,0.009798759156987526,0.010109421799700223,0.010198483437087668,0.010080069047495206,0.009680340445445506,0.009390746738168386,0.009382423995724557,0.00950662175858437,0.009565697664438535,0.009569761767658528
wn18rr-atte,wn18rr-compgcn,0.06836176178697563,2.835216117640339e-06,1.0962291239687664e-07,2.706340639050281e-09,3.318574861091327e-10,2.017290921590572e-10,4.6081999129946314e-12,1.408544529108865e-15,2.1448172786819099e-16,1.2289308378000096e-14,1.6027460010041557e-23,3.549495339787994e-10,0.009421864593379034,1.8882138405106124e-08,3.3102510842579466e-09,6.998044005940194e-11,1.2124238622341394e-11,3.6517857813028385e-12,8.238530351927461e-13,6.510005915346106e-16,4.322823601524389e-17,1.1960016795934382e-15,5.60123319232398e-26,4.761562207958759e-13,6.348830098322316e-14,3.6860732830597676e-113,0.006507711523086142,3.13933300891769e-78,4.648544251493036e-13,4.657797871081735e-10,4.853088996148839e-15,1.5435660510358948e-29,6.440864720933467e-42,3.2561326908434304e-47,1.0535796924025514e-57,3.0771283656745523e-60,1.2831454194055144e-63,1.1960835683411427e-67,6.653296390166725e-68,2.2315700931905152e-67,5.8379033813556215e-67,2.18070488102922e-62,6.610498149370126e-67,1.7134759449089316e-77,1.2968109692923019e-84,3.7495506824885034e-79,2.4276187852170043e-12,4.780919255066568e-17,1.8541882421427705e-34,1.8263972085055035e-48,4.8454475310207535e-52,1.4807721654462683e-61,4.6469619012936e-63,4.16128439851471e-67,1.0399949850802149e-70,6.007173965466572e-73,2.008631330727211e-74,2.8623453005000425e-77,1.1284096006940268e-75,3.719428555565353e-79,3.667593071217547e-88,5.637993946714027e-85,3.13933300891769e-78,6.348847322687228e-14,1.522049333372875e-76,2.538431255866599e-44,2.538431255866599e-44,4.204555183425998e-45,7.636590406209043e-43,4.0648302876476556e-15,1.9377418453613793e-11,8.301937015386645e-16,5.2765771841203244e-24,1.5478241584481614e-29,1.8639026548808196e-31,1.7669401377941963e-34,1.7488474250741036e-35,9.098364422656198e-37,3.499755992742983e-38,4.598368307627131e-39,1.51242742133147e-39,1.2642760908591133e-40,7.196570750148172e-41,3.27242791371622e-42,1.5952745795348614e-44,3.369159523597773e-45,4.204555183425998e-45,3.2071880290542783e-09,6.58309222303894e-11,1.3921455144907522e-12,3.2128219899394974e-13,2.1275942097118425e-13,1.3420094248962336e-13,1.1675301020964667e-13,1.0098197834992899e-13,8.706479136941445e-14,7.993485046232944e-14,7.741205391558517e-14,7.331408355576727e-14,7.284479260817534e-14,6.898463127239797e-14,6.436920196618693e-14,6.316907781602891e-14,6.348830098322316e-14
wn18rr-atte,wn18rr-complex,0.0002617246650729539,3.155049143452967e-08,2.20454777421604e-10,6.354354416151867e-10,2.0119691288545297e-11,8.56093915106348e-12,1.5291475304675318e-12,7.606841754498023e-17,1.1628419088818608e-16,1.4160551860619314e-16,2.966504416199631e-64,5.095233762322192e-15,7.115319761339051e-06,2.507501687410857e-11,7.886536893504206e-13,3.699136741685022e-12,4.250927819146544e-14,1.6116622591268784e-14,5.160446915861144e-15,5.561283845152634e-20,3.80976889566169e-21,2.913175253386518e-21,2.4450030454090256e-67,1.1497955830780602e-19,2.8372271760272264e-22,2.4045002120450027e-129,4.395941508924606e-06,2.233046156019157e-93,1.1240214450765916e-19,1.038422141426244e-11,6.468812232124772e-17,2.948870795984394e-34,6.565230874112813e-51,2.5348029812368163e-52,2.866640020505874e-61,1.2072094430617389e-66,1.7670343959834182e-66,6.160022740798336e-72,2.1194652230719552e-74,1.3185364706463856e-74,6.179887764594892e-72,3.502037769731581e-73,1.5052964743842393e-82,9.77837690877676e-95,1.1499281046692536e-95,3.2509371445543763e-90,9.381910728810523e-18,1.8976478762378233e-24,1.852090537529076e-43,3.2267996124857694e-64,2.3957612184399734e-65,1.9185936479167705e-73,8.892344328957272e-77,5.032397983039609e-78,6.536063814086435e-84,3.7934896563355795e-85,2.935487415293647e-84,2.0284140705761212e-82,2.573840601742379e-85,1.1937946020582735e-93,1.1780796718862618e-101,1.4284910750421392e-101,2.233046156019157e-93,2.8372154650394454e-22,4.910557443531832e-91,4.837865236243842e-61,4.837865236243842e-61,9.34165787932686e-61,3.1945820501759496e-59,7.141542383524518e-24,5.1837085948857405e-18,3.2972150533928383e-24,5.905570632533259e-35,6.659287005888508e-43,1.99726784933936e-44,2.1610448230384605e-47,2.934968028324669e-49,5.237500970683892e-50,6.925822119016389e-52,1.2901448396845355e-52,1.1284794166478616e-52,8.877214360498797e-53,3.044879489862121e-54,7.145739955529848e-57,9.831758674704552e-60,3.76171815013101e-61,9.34165787932686e-61,7.406610359867375e-16,4.520607168893262e-18,1.8037865452663236e-20,1.9034271692624397e-21,1.2944278397118495e-21,7.6608758877124e-22,5.731207423342996e-22,5.421279684906398e-22,4.333163030326594e-22,4.006522840741887e-22,3.9878059220563886e-22,4.104472169104309e-22,3.7405323240192914e-22,3.2331698748063725e-22,2.9128727535534117e-22,2.7946619404004013e-22,2.8372271760272264e-22
wn18rr-atte,wn18rr-conve,8.795078126567047e-33,6.489076663091539e-49,2.070017404500617e-58,3.5037075587967515e-58,3.283836867082543e-58,1.215223254295071e-58,4.731310741737073e-60,2.9195873574865384e-65,4.237854087244673e-67,4.117617194842881e-68,3.48670013745016e-92,5.698103594166511e-82,1.0157963491087282e-30,3.52885562136458e-46,1.9876270682513596e-52,1.2202592255062416e-51,4.331411215312581e-51,4.437332895799007e-52,4.220472614682563e-53,1.0809889967707452e-58,2.489433701524022e-61,9.435755222322151e-63,4.696733649117217e-86,1.4918011017099965e-74,3.764828100345059e-75,2.1844041914339583e-242,5.661378999844772e-31,1.2756434414358145e-162,1.3910671257778025e-74,1.8213804759379804e-52,2.6093007032386427e-64,9.94679484093422e-94,1.1547525974489936e-115,7.091235735706672e-125,3.4817506298434173e-133,1.1316514186633618e-139,6.817123967431827e-147,1.736706932408038e-150,1.018564691042306e-151,1.339652292611276e-149,9.60578471855091e-153,1.7525119197254768e-155,2.5410640465533167e-161,5.7120689458625264e-170,2.1801868288855318e-172,4.241887076919785e-154,1.0676325967323877e-52,6.732858770017339e-64,6.404024040717934e-95,5.801870938695231e-117,8.025291668647825e-125,3.3329794719630625e-134,4.00479842201222e-142,2.973677532369834e-148,2.5950012516636613e-154,2.0839456165543995e-154,2.1986782381241423e-152,7.634335261809921e-156,5.610149578999555e-160,4.277930695075514e-163,4.095719572684868e-170,2.103540932300548e-169,1.2756434414358145e-162,3.7649187080427057e-75,1.5149805896485311e-156,1.2621668608170306e-156,1.2621668608170306e-156,5.030310407542431e-159,3.1187278351836834e-155,2.886416565509056e-82,1.0641925436950407e-63,1.6332242412113194e-78,7.497131958206292e-102,1.297896371576869e-116,3.5403000629407847e-122,5.87172764139055e-128,2.751014592030384e-132,1.680873967044349e-135,1.2719826969430892e-138,5.522440945192295e-140,8.086741721841294e-141,6.112384961202962e-143,8.570056671154317e-146,1.1588239981612234e-149,8.918561318605067e-155,2.2417563193844094e-157,5.030310407542431e-159,9.834921193588252e-58,1.6237036268802275e-64,1.4532286533879362e-70,7.959850512620182e-73,1.7029903648898244e-73,5.342723313463132e-74,2.665363057799103e-74,1.6179977809435703e-74,1.0371333352745545e-74,8.878413325174376e-75,8.323899124073677e-75,7.451045309005751e-75,6.259710006949351e-75,4.866570657485714e-75,3.867799031416295e-75,3.716770632569403e-75,3.764828100345059e-75
wn18rr-atte,wn18rr-distmult,3.5507757324645356e-31,5.466590566918887e-38,3.6861022506850376e-37,1.4619191239410547e-34,1.2315479989712253e-29,2.112282606411252e-29,8.346671844344317e-33,2.8488459963285043e-37,2.7097429335417568e-36,2.22724092297335e-36,1.173779609154897e-74,1.1717525304056834e-66,1.3207171146266384e-28,3.8137887027008996e-36,2.0028352579989748e-33,2.2605583712523933e-30,6.080955258249719e-27,3.372168129846626e-28,2.4474929423418088e-30,2.953071345438532e-35,2.931203356249458e-35,2.1393620584124823e-36,3.0641473557539138e-61,2.726896547888465e-61,1.8237965605821529e-62,2.3770446822159812e-178,7.087299137683976e-27,9.260266846725622e-114,2.5782528581922646e-61,1.8099267759625604e-27,1.2357316097457095e-33,8.917026240138038e-58,1.7453558711976643e-78,1.441911252893237e-81,1.181723308578824e-89,1.8522194214458563e-93,1.0938455100152796e-96,4.4678698520598126e-100,2.383617160103491e-102,5.51546807919096e-105,2.787591097421057e-107,6.293056504266589e-109,2.21561628642551e-113,3.733008229942632e-127,1.7307927044326417e-121,1.1225649981354173e-108,5.115663007397034e-29,1.9368044485384581e-38,5.144404508761628e-62,2.9065759887306123e-83,1.590011226305755e-86,1.5134278999732685e-95,1.0362378936548382e-96,2.1067742127627185e-99,3.238634461679693e-104,4.0315892283479446e-106,1.9126663087955774e-107,1.4179062738613977e-109,1.3788727185760756e-111,3.6408691206576e-114,1.0288277883222446e-124,9.720017394169203e-124,9.260266846725622e-114,1.823821416964512e-62,7.313458700133276e-110,1.9924938752474466e-129,1.9924938752474466e-129,6.496173690878807e-131,9.84367297704472e-129,1.0028897744617437e-67,2.4055604549165104e-48,1.2810428789664283e-61,3.284847347953764e-82,2.4125479696164215e-96,3.8293740787727734e-100,2.286011623017395e-105,1.7459375439923715e-107,5.031428089205223e-110,1.1293371050750966e-112,3.50887623229027e-114,3.2101755807675876e-115,3.516485562881936e-117,1.0902246240490017e-119,3.72805401404415e-122,3.734344970548792e-128,1.5380961179868378e-130,6.496173690878807e-131,1.9039184965448415e-47,2.2948094346919614e-53,1.3614715401675907e-58,1.159798976693036e-60,4.220443132212365e-61,1.4724406826435265e-61,1.0514819627494523e-61,7.239299583363157e-62,4.844828905321315e-62,4.1266266726485966e-62,3.7595164011602008e-62,3.2040234279522546e-62,2.7683430723205245e-62,2.4295585899788473e-62,1.9247489292118364e-62,1.7945876658497782e-62,1.8237965605821529e-62
wn18rr-atte,wn18rr-hake,0.4051736234299027,0.3590118280244339,0.15360882793533823,0.07771285118614733,0.018932821422341685,0.003689984925428591,0.00439486051151472,0.09325022366016951,0.08686881714287269,0.021080393223230257,3.6100859082178998e-47,0.18534170850654094,0.0003907848741965631,0.0004843221954905855,0.012502836625121088,0.06597766213897534,0.4538666409860017,0.8445391508846096,0.9228156233557436,0.2382179802358244,0.1882322901849516,0.3786843025107197,2.1536833501709462e-47,5.250104253467424e-05,0.19777436041684213,5.157268029106023e-07,0.1007467781236943,0.006359681094738195,0.0010905090833493506,0.2836593338942358,0.12677838330856867,0.9238577690816847,0.4158781515467268,0.4473162364369079,0.08301775881467124,0.061603089251549795,0.16809878396593134,0.0733836595157679,0.045639017168141935,0.04870886132362364,0.1113227671104308,0.20451048062940524,0.12580894916229787,0.218384595389785,0.4619205444693836,0.3617837594163589,0.34140549080112637,0.286463201300911,0.22860798213032557,0.027012405328807984,0.0978026710871096,0.011416491924765258,0.01727692760642632,0.04529653347565432,0.019137647073569738,0.016959248542194074,0.025502004533292814,0.046542161251700555,0.12163413856009432,0.07622423530631263,0.008050676928749981,0.010035227142242623,0.006359681094738195,0.1977724695395931,5.269474718126472e-06,0.057207979759269195,0.057207979759269195,0.014573590608621751,0.0012698504287524234,0.02877830825255899,0.3300498082617186,0.367559392325157,0.07232837492161641,0.028241572536127933,0.03875712554306947,0.01839245213708413,0.019137493821905983,0.024908857324713495,0.01894346006209931,0.017807561833551682,0.019295753567238106,0.022553589655841828,0.027931829883508487,0.0239405213884794,0.015461228007808017,0.01606896459765916,0.014573590608621751,0.24154860614017507,0.3148903107701295,0.22402756117186667,0.2025283122831973,0.20660956156047916,0.1948977469106887,0.19494188319429884,0.19908112235449862,0.1961586031321903,0.19527481344600522,0.19564363438979232,0.1976361987701531,0.19914285845832363,0.19839718015728994,0.19776043881968244,0.19796573688583913,0.19777436041684213
wn18rr-atte,wn18rr-hitter,0.000205890801219597,0.012955395172136593,0.07080985982957656,0.14040549650620113,0.03345765431828675,0.00994904254956412,0.016935477590351883,0.06795991529238912,0.11233345707233257,0.03849610863802421,0.4961992277260332,0.0009416499819246727,0.0027597082700669957,0.1947387811997765,0.28095790880545124,0.3645474015720592,0.24837369277288715,0.10978508367721845,0.11348519221720645,0.2602256038828651,0.3863584582458969,0.2523803777848218,0.6956443579531835,0.020357710471795524,0.008435344196083333,1.6564001222563826e-07,0.001307595061692119,2.681102519709049e-07,0.02037827313682534,0.16054543849403682,0.09788536438960849,0.2847579134352062,0.004542212039696403,0.0014453692045621092,0.0001033369903892991,0.00012997603250519894,8.062059688244185e-05,0.00011965788916494963,0.0001540369412944572,0.00021968290861314776,0.001761778935972965,0.0008988186405576777,0.0005293114201664221,7.153722430704036e-07,1.8637575829146376e-09,1.4060358345821216e-07,0.17995899321271955,0.21201536153465228,0.1428575792454866,0.00021602870448663567,0.00017287161759700574,1.0762239888048524e-05,1.3104542729006055e-05,5.573311256003268e-06,7.699907038464715e-06,6.780680744949959e-06,1.0876566229036256e-05,4.461780430036144e-05,2.7915373638899906e-06,2.4511249743878004e-06,2.865540200279739e-09,2.54440547823119e-10,2.681102519709049e-07,0.008435346754956084,4.344571555934371e-07,0.3480562098337302,0.3480562098337302,0.42988956160322733,0.42425206463599174,0.018753515739754017,0.011445183108751285,0.0070424643559252095,0.07886881785069998,0.2657384005319361,0.274796099166735,0.3431580570796404,0.3346380810446683,0.3688849419463387,0.35974507668911226,0.36905539624636574,0.35429244344283517,0.3090473404971329,0.37018979418304854,0.3668607732648723,0.5005814567985594,0.5551408025898973,0.42988956160322733,0.0047200627824835325,0.002808986473298833,0.005754905007517294,0.007633652223745336,0.00791751607385948,0.008309514414596358,0.008286519473935777,0.008411465516645336,0.00836328743536473,0.008400239766023384,0.008361544849221655,0.008175537329170628,0.008293081669237225,0.00828104847630315,0.008431758877666251,0.008490420212310761,0.008435344196083333
wn18rr-atte,wn18rr-interacte,2.44362263990372e-07,6.433324812944445e-16,8.143796206447809e-17,1.1741426884649073e-18,1.2744563171644202e-20,3.4954402614191323e-22,1.7346360298865505e-26,1.3060059376483895e-32,6.921559675664428e-36,6.775058976209661e-37,2.305475189811444e-109,2.0024556839313332e-28,8.7231009522974e-08,1.5451436956956458e-16,2.776533692094285e-17,5.8662873156597646e-21,2.621737719113519e-22,3.318117822957516e-24,4.0412081263295374e-27,5.904256832831697e-33,1.0245106687656283e-36,1.3161561495040625e-38,2.065163506078579e-105,7.714060054262724e-30,2.780060740612551e-31,5.2668484323072905e-213,1.1959836204785752e-07,2.424345750193737e-184,7.346358008939439e-30,1.4509357363695996e-20,1.2346747533057001e-37,5.533243618219474e-62,5.551752514333593e-79,4.5842375732753686e-83,1.1679625380380098e-94,2.503314387946088e-102,2.0650188587191395e-110,5.85750613960033e-114,7.208821424105827e-111,6.3242735985946e-109,8.087731136130463e-106,5.936305635142502e-107,5.420035439755322e-121,1.2939277469152129e-158,4.1702954372655456e-176,1.3859801784191478e-181,1.5184607457239515e-23,4.875782795250496e-40,1.1740909630549582e-69,5.052819287210526e-90,1.1798299417018013e-99,2.9998255871284366e-112,2.0070705081582848e-116,4.790281678777234e-125,1.550093992311578e-129,5.395502392795869e-131,4.478684781661097e-134,1.3092096838328592e-137,6.619055003370024e-148,2.698887119196081e-154,4.039386005903574e-173,2.1325003133550285e-175,2.424345750193737e-184,2.7800817188561708e-31,3.4209585913820023e-180,7.205739650667071e-97,7.205739650667071e-97,5.357862313475198e-98,1.1019812906317038e-95,6.964019290842249e-39,5.265553307652012e-24,4.6715311676876377e-35,2.786404857722306e-50,8.591965264888014e-60,4.893102969418243e-64,6.380070419154435e-69,4.365200462213771e-71,5.142683633511125e-74,3.806944935332864e-76,3.736256236807764e-77,1.561270605930599e-78,2.5773733368377048e-80,3.0160793347907004e-83,3.027946138646019e-86,6.701101531364824e-92,1.9260382899448082e-94,5.357862313475198e-98,1.2638403560164434e-20,7.554731632001327e-25,2.4489159599731546e-28,1.3732862278467907e-29,4.890398981186145e-30,2.0094953582314862e-30,1.4815389198225163e-30,1.0161086445863652e-30,7.823452138276628e-31,7.085693967175136e-31,6.212232286990007e-31,5.648453644184101e-31,4.656756067176216e-31,3.905578887963672e-31,3.126237383042579e-31,2.9211652770086544e-31,2.780060740612551e-31
wn18rr-atte,wn18rr-rescal,0.00048395142482306446,4.9002026842692005e-12,1.2746855384152904e-19,5.780258956653792e-24,6.8439770715810045e-28,5.61724682691462e-32,8.431714093706347e-38,1.3030835286037427e-45,5.849514902636621e-49,1.6447166470879742e-52,5.176505098962302e-113,1.4724211288261165e-26,2.371897317576606e-10,4.0542029494636997e-22,3.1061266018624417e-29,3.902438497292814e-33,8.05888052296024e-37,1.9163563377846684e-41,1.165090059047322e-46,7.819314747782832e-54,6.453792896820798e-58,6.745275394314103e-62,2.575630023245571e-109,2.3632248027505686e-44,1.202588667222473e-47,1.326350187211674e-235,1.2872255236109584e-11,8.509551738450293e-176,2.1903617509607145e-44,2.2646009885152436e-26,2.5550011111475802e-48,1.6206573904659635e-86,2.1181480252588284e-108,2.183089171122898e-127,5.251338462890622e-140,5.8390880778885716e-148,5.0097868909324954e-151,5.7051837765366223e-154,5.066496593499777e-155,2.119517827669356e-156,9.231678150755653e-161,6.634975410650633e-163,1.683107091820152e-166,1.4649919854023234e-182,1.6250685384627683e-181,1.0081454258621662e-168,1.768836641196233e-39,5.0000876865178157e-64,2.9051595979515914e-100,1.5303837775259443e-124,2.0356223297856392e-135,3.4834175090494817e-144,1.6556495264384998e-150,2.1613280593528787e-154,4.5716219541971e-157,1.5689307762388068e-159,1.397014776017497e-160,2.237769172034369e-165,1.2686951343226488e-169,4.1751001898352915e-177,4.728422522567076e-183,5.1509265788478096e-182,8.509551738450293e-176,1.202574170473987e-47,2.4821810094315506e-172,6.866654554804196e-128,6.866654554804196e-128,6.670097425947349e-131,6.569282202583008e-124,4.3900503959560614e-55,5.159020163266705e-37,7.096798896111225e-55,1.0376103879951994e-76,1.6639147632529823e-89,1.3926297064537252e-95,5.1150131989280513e-101,1.9296918546491772e-104,6.679868339914396e-107,3.5403460080166847e-109,1.5261034726491497e-110,2.8902630009389438e-111,7.568806922595396e-114,3.0457721598571667e-116,9.325189012623058e-121,7.619088072530828e-126,3.900853027435625e-129,6.670097425947349e-131,2.1397042274133462e-31,3.010038812030201e-38,1.3460976869504981e-43,2.1534153149367595e-45,3.733759138777783e-46,1.220973343899751e-46,6.890850475268614e-47,4.934509127205092e-47,3.6769442576196948e-47,3.201902620430852e-47,2.9827934748829766e-47,2.463804835023049e-47,2.114827971161846e-47,1.6268701457625135e-47,1.3335089444080574e-47,1.215568390027705e-47,1.202588667222473e-47
wn18rr-atte,wn18rr-rotate,0.0008261828990443974,8.921611407632205e-07,1.6527691000357972e-07,5.284300228658111e-09,6.379566238076532e-09,3.320971949245636e-08,1.397748352001395e-09,2.6693539146689183e-13,1.133245504871076e-12,1.2518682019405884e-11,0.1364238831296364,3.750163566323296e-12,2.0347309217218017e-05,6.607311354376632e-09,1.0510331008862942e-09,2.096587295513907e-10,5.879365608269148e-11,1.2626941365441878e-10,4.028231364120426e-11,6.979467404793912e-15,5.538661314543817e-15,2.139576270838429e-14,0.00158715559501414,4.30029924609002e-16,2.5094663861743013e-17,1.5695017006056584e-45,3.306152864024346e-05,1.8073558853291193e-15,4.117285095410724e-16,1.1385675711043883e-09,7.17033924138087e-12,1.9216528176247568e-29,9.489617496430468e-35,5.828027576366452e-38,4.348153221936524e-42,1.4478162725887017e-43,5.993753538056176e-40,2.247355790420257e-41,5.501252594728666e-41,6.801162355279822e-43,1.582999998665913e-40,5.665351006059589e-39,4.213827804650592e-39,3.268000406937762e-35,9.756078042305584e-23,2.0706376271794525e-11,3.648114018598591e-12,9.884682453384328e-16,4.7504977432957547e-39,4.94535488003955e-47,4.419414097562696e-48,9.480014562928063e-52,3.784869055402514e-52,3.2240457746796053e-47,1.9139268682331322e-48,4.323802469095611e-49,3.188227203108153e-50,4.8908136800083584e-49,4.014356205491764e-49,3.0923578228470197e-47,3.7334150173310355e-41,2.2148350028902602e-28,1.8073558853291193e-15,2.5094578155699077e-17,4.716850494055119e-16,1.493843026215674e-34,1.493843026215674e-34,2.4207988863600457e-34,5.954343429329787e-34,3.184206132208583e-15,5.068541309893248e-14,6.629478809416018e-18,1.3661359795087585e-29,3.927418743543677e-34,1.1758606852768253e-35,1.007267846889913e-37,1.3055661711621897e-38,6.076897975434913e-38,1.6002466943300096e-38,4.2390350754383134e-39,1.0929676397609557e-39,9.603082729029875e-40,3.738652185743859e-40,1.8383349063480876e-40,9.368611354836569e-40,2.029566368618949e-37,2.4207988863600457e-34,1.500446310987438e-12,4.9273770360202817e-14,1.6933598774579154e-16,4.865513588816071e-17,3.231719788097568e-17,2.3391716286219188e-17,2.1720406872440182e-17,2.4397380216757064e-17,2.3406445504969458e-17,2.1979377191613352e-17,2.0741353440845564e-17,2.1186714242806096e-17,2.1052829046997944e-17,2.0819872953256208e-17,2.1908464847327737e-17,2.347704049912357e-17,2.5094663861743013e-17
