System,micro_hits@1,micro_hits@2,micro_hits@3,micro_hits@4,micro_hits@5,micro_hits@6,micro_hits@7,micro_hits@8,micro_hits@9,micro_hits@10,micro_mr,micro_mrr,macro_hits@1,macro_hits@2,macro_hits@3,macro_hits@4,macro_hits@5,macro_hits@6,macro_hits@7,macro_hits@8,macro_hits@9,macro_hits@10,macro_mr,macro_mrr,G,P_10,P_100,P_1000,P_120,P_150,P_20,P_200,P_30,P_300,P_40,P_5,P_50,P_500,P_60,P_70,P_80,P_90,Rndcg,Rprec,binG,bpref,gm_bpref,gm_map,infAP,map,map_cut_10,map_cut_100,map_cut_1000,map_cut_120,map_cut_150,map_cut_20,map_cut_200,map_cut_30,map_cut_300,map_cut_40,map_cut_5,map_cut_50,map_cut_500,map_cut_60,map_cut_70,map_cut_80,map_cut_90,ndcg,ndcg_cut_10,ndcg_cut_100,ndcg_cut_1000,ndcg_cut_120,ndcg_cut_150,ndcg_cut_20,ndcg_cut_200,ndcg_cut_30,ndcg_cut_300,ndcg_cut_40,ndcg_cut_5,ndcg_cut_50,ndcg_cut_500,ndcg_cut_60,ndcg_cut_70,ndcg_cut_80,ndcg_cut_90,ndcg_rel,recall_10,recall_100,recall_1000,recall_120,recall_150,recall_20,recall_200,recall_30,recall_300,recall_40,recall_5,recall_50,recall_500,recall_60,recall_70,recall_80,recall_90,recip_rank
wn18rr-atte,0.4492661135928526,0.4873962986598596,0.5102105934907466,0.5252074026802808,0.5366943203573707,0.5459476707083599,0.5558391831525208,0.5658902361199745,0.5719527760051053,0.5765794511806,2329.2072431397573,0.4936499685634586,0.47865640307907625,0.5180195941217635,0.5397130860741778,0.554408677396781,0.5656053184044787,0.5748775367389783,0.5837998600419874,0.5939468159552135,0.6005948215535339,0.6054933519944017,2069.193142057383,0.5229292926539879,0.573297987259516,0.0631035689293212,0.007909377186843945,0.0009051784464660604,0.006659668766036855,0.005403545602985771,0.03424597620713786,0.004130510846745976,0.023897830650804752,0.0028364823886167486,0.018360741777466758,0.11707487753673898,0.015020993701889435,0.0017498250524842552,0.012704105435036151,0.01101669499150255,0.009744576627011897,0.008727937174403235,0.5266550324896859,0.476760930054317,0.573297987259516,0.8333096676474913,0.1579449839255077,0.04795761272336111,0.5188836746556195,0.5188837137763734,0.512470932000823,0.5184582154203994,0.5188837137763734,0.5185286839994321,0.5186081930751264,0.5159249716881584,0.518690789405199,0.5171290832606545,0.5187844408226411,0.5175912072042723,0.5069204204016573,0.5179260566521324,0.5188436281856218,0.5181102471463541,0.5182376169901505,0.5183401030359003,0.5184051656941712,0.5761456739476928,0.5342393515438063,0.5639025318329719,0.5761456739476928,0.5650443973625587,0.5665167704220093,0.546378170072029,0.5683431921569585,0.5526568131306226,0.57109515923648,0.5555665447112097,0.52140733890871,0.5581976903493273,0.5734446118307458,0.5598644693535114,0.561205185420178,0.5623702405819544,0.5631910357235128,0.5756035911921353,0.5984129761071678,0.7369385403784461,0.8333096676474913,0.7446029077349057,0.7548256742382882,0.6453641748384575,0.76799047479812,0.6743579766978997,0.7892754908084683,0.6888553699041802,0.5591545453030757,0.7030082547205535,0.8086333249209386,0.7123708626048549,0.7202919478177525,0.7273426691398174,0.7324453050157214,0.5228907451840116
wn18rr-bique,0.4593171665603063,0.49936183790682837,0.5193044033184429,0.5341416719846841,0.5465858328015316,0.5582322910019144,0.5657306955966815,0.574505424377792,0.5812061263560944,0.5882259093809827,2900.799138481174,0.5035599336845472,0.48547935619314203,0.5251924422673198,0.5451364590622814,0.5596571028691393,0.5712036389083275,0.5832750174947515,0.5906228131560531,0.5984954513645906,0.6054933519944017,0.6121413575927221,2563.5402379286215,0.5291007308521637,0.5766009117658929,0.06422323303009096,0.007881385584324703,0.0009032540237928624,0.006662584557965943,0.005430370888733381,0.03456962911126662,0.004148005598320504,0.0240086307441101,0.0028382318637742016,0.01848320503848845,0.11882435269419175,0.015017494751574528,0.001747375787263821,0.012689526475390716,0.011006697990602821,0.00970958712386284,0.008691003809968121,0.5316677901807507,0.4830470366465818,0.5766009117658929,0.828464762581715,0.1490508612468939,0.04699187892577271,0.5239907294706285,0.5239907714667968,0.5179164547743662,0.5235326396235682,0.5239907714667968,0.5236300512251313,0.5237295119587893,0.521204316905687,0.5238121208206603,0.5222923433137131,0.5238964375469926,0.5227768379733094,0.5119784443454842,0.5230186032376862,0.5239511409047467,0.5232010245688943,0.5233335157883805,0.5234135859334599,0.5234723203360802,0.5796599137135646,0.5399172847169521,0.5671209578077153,0.5796599137135646,0.5686049083463633,0.570445944522958,0.5511374763737998,0.572297914901403,0.5566056337911063,0.5746817266904672,0.5597272118265408,0.5267096185003838,0.5616097667296394,0.5769282405419536,0.5633080719203658,0.564665388570296,0.5655725423234832,0.5663010389709889,0.5794214976667034,0.6036983412551992,0.730658652782953,0.828464762581715,0.7404351705851882,0.7530246425780891,0.6469116272693949,0.7665779724124722,0.6719226372239843,0.7847979230939344,0.6874026523103675,0.5631353018336923,0.6974869944319735,0.8034058780034987,0.7072288635379084,0.7152795733249722,0.7208238191421362,0.725373779911481,0.52906313302177
wn18rr-compgcn,0.4438417358008935,0.47303765156349714,0.49266113592852584,0.5049457562220804,0.5151563497128271,0.5236119974473517,0.5314294830887045,0.5373324824505424,0.54211869814933,0.5483407785577536,3333.5917358008937,0.4789529162157128,0.47060881735479354,0.5001749475157453,0.519594121763471,0.5314905528341498,0.5414625612316305,0.5495101469559133,0.5573827851644506,0.5636808957312807,0.5685794261721484,0.574702589223233,3169.0951714485655,0.5054365863454695,0.5440168280019829,0.059937018894331694,0.007104618614415676,0.0008166550034989505,0.005977373454630277,0.0048612083041754146,0.03182295311406578,0.0037097620713785863,0.021932586890599487,0.0025373221366923257,0.01678184044786564,0.11235129461161653,0.013621413575927221,0.0015689293212036391,0.011505714952181011,0.009949515145456363,0.008769244226731981,0.0078415364279605,0.5077656784164869,0.4686007171333449,0.5440168280019829,0.754332479393711,0.06376841404791356,0.023284048320334372,0.5012762771249388,0.5012763145953302,0.49680757727046965,0.5008923724233728,0.5012763145953302,0.50095184538094,0.5010321765812794,0.49913614544863283,0.5011018589825427,0.49993608666084044,0.501176897718716,0.5002957993611883,0.4922795210048096,0.5005038976002507,0.5012329762176608,0.5006559847514674,0.5007425863585997,0.5008053611208734,0.500846635196013,0.5464937071139205,0.5148041878878944,0.5348427107682252,0.5464937071139205,0.5357571093801916,0.5372667204371286,0.5227709950755588,0.53878924329793,0.5268002754720951,0.540957149529475,0.5291249873125433,0.5043930178746314,0.5306439342619327,0.5433898131760795,0.5320658038872963,0.5329833865926078,0.5336928034785153,0.5342312610298061,0.5463465260973799,0.567060450046804,0.660588035710499,0.754332479393711,0.6666820408422928,0.677132239116144,0.5973458435954062,0.6882110745564209,0.6157712250718724,0.7051024654724795,0.62755380772132,0.5349309222384799,0.635620970905698,0.7255803561961714,0.6436576224102466,0.6491057796297474,0.653384704285684,0.656686838645376,0.5053893097577791
wn18rr-complex,0.43809827696234843,0.4700063816209317,0.48978940650925334,0.5047862156987875,0.5140395660497766,0.5224952137843012,0.5312699425654116,0.5363752393107849,0.5424377791959158,0.5473835354179961,3945.7943522654755,0.4749201562013895,0.4643107067879636,0.49650104968509445,0.5159202239328201,0.5307907627711687,0.5395381385584325,0.548110566829951,0.5561581525542337,0.560706787963611,0.5661301609517145,0.5712036389083275,3825.035689293212,0.5004769632929531,0.5374259326121856,0.05986703988803358,0.007066130160951715,0.0008103568929321204,0.005972999766736645,0.004837881968742711,0.031621763470958714,0.0036782715185444364,0.021705155120130628,0.002515745276417075,0.01667249825052484,0.112036389083275,0.013554933519944015,0.001551784464660602,0.0114124096104502,0.009899530140957713,0.008712386284114765,0.007792939895809036,0.5015886280081483,0.46256734722007636,0.5374259326121856,0.7427156759731988,0.05593296250706974,0.021030040673606545,0.4956271650544695,0.49562720413109856,0.4913790838923768,0.4952598001664643,0.49562720413109856,0.49534534949178083,0.49540735517707357,0.49355193277286014,0.49545804560859225,0.4942446391658888,0.49552985394322796,0.4946410654993864,0.48669920172938014,0.4948654111259185,0.4955816556187211,0.49498743502217346,0.49510695165293944,0.4951576453410712,0.49520707783742673,0.5402626931425016,0.5098761436096937,0.5291690219650204,0.5402626931425016,0.5305078279221402,0.5316379772579167,0.5172577728374806,0.5327685430361522,0.5206437781904012,0.5348658149781406,0.5231929208876399,0.4995205498598752,0.5249706115750865,0.5370470984744771,0.5260544315639786,0.527235748602908,0.5278066980174453,0.5284557172960705,0.5398000206456406,0.5624036463303433,0.6536898968188332,0.7427156759731988,0.6625422411155442,0.670361533585379,0.5907687542222182,0.6784594407516906,0.6060659075004771,0.6947022718650606,0.6187979212296917,0.5304603126637767,0.6284621810426568,0.7129825926930546,0.634615959908997,0.641525345426675,0.6450082588859706,0.6491195255059846,0.5004310732275522
wn18rr-conve,0.41081684747925973,0.43650287172941926,0.45086151882578174,0.46378430121250797,0.4744735162731334,0.48276962348436503,0.4912252712188896,0.4971282705807275,0.5007977026164646,0.5044671346522016,4531.587428206764,0.44159430557452006,0.43876836948915326,0.4658852344296711,0.4807557732680196,0.4942267319804059,0.5050734779566131,0.5134709587123862,0.5209937018894332,0.5265920223932821,0.5302659202239328,0.5339398180545836,4250.329776067179,0.47031814631477487,0.5061347387436822,0.05523093072078375,0.006464310706787964,0.0007531490552834149,0.005458362491252624,0.004432003732213669,0.02909377186843947,0.003375612316305109,0.019979006298110565,0.0023081408910660137,0.015268544436668998,0.10377886634009797,0.012410776766969908,0.0014373687893631912,0.010450198273851179,0.009019794061781466,0.007938243526941918,0.007114532306974574,0.4730705318492737,0.43772409943683555,0.5061347387436822,0.6986376908897027,0.03425913646657833,0.013237119675458443,0.4673308494638942,0.46733088129150563,0.4637100270381848,0.4669634927766217,0.46733088129150563,0.467032823362974,0.4670981649631878,0.4655135226235346,0.46715382146397594,0.4661450792249777,0.46722068078027856,0.4664304722997427,0.45956460284136985,0.4666326570499624,0.46728318834332977,0.46674154738154705,0.4668043085214384,0.46684907686396865,0.46690368293490697,0.5081272113796834,0.4799486080081261,0.49681331532518225,0.5081272113796834,0.497859509716705,0.49903127135575226,0.48642168857490947,0.50028548722477,0.4896513775255695,0.5022837328096379,0.49153590282079035,0.47041120000342906,0.49308918633503174,0.504896233857403,0.4940802860483427,0.49471924220038255,0.4952604300568346,0.495959916385854,0.5079126454957418,0.5279203738878337,0.6078904927006746,0.6986376908897027,0.6147021991887283,0.6227162533058265,0.5529423180621572,0.6318319560949897,0.5676152078618839,0.6474196472118969,0.5770348819596546,0.4992337715352061,0.5853540528750466,0.6690753096040885,0.590970076401322,0.5947081216544128,0.5980188708538953,0.6023359090757621,0.4702659191697376
wn18rr-distmult,0.4135290363752393,0.4447989789406509,0.4660178685386088,0.48229100191448626,0.4971282705807275,0.5060625398851308,0.5127632418634334,0.5194639438417358,0.5256860242501595,0.530472239948947,4221.895660497767,0.4517892325001036,0.44191742477256823,0.47428271518544435,0.4959762071378586,0.5129461161651504,0.5269419174247726,0.53481455563331,0.5414625612316305,0.5477606717984604,0.5537088873337999,0.5580825752274318,3808.697165850245,0.48038186410448436,0.5204889764057702,0.0579776067179846,0.006838698390482856,0.0007869139258222534,0.005755773268019594,0.004674597620713786,0.030712036389083278,0.0035706787963610915,0.0210578493118731,0.0024393515278749714,0.01614328201539538,0.10853743876836948,0.013114065780265922,0.0015076976906927921,0.011080009330534173,0.009584624612616215,0.008432470258922324,0.007548013373765648,0.4826413667206268,0.44269518386908174,0.5204889764057702,0.727996478678774,0.04754773460730951,0.01777803047717376,0.4775369974137657,0.47753703172334383,0.4734650922814786,0.4771737412371285,0.47753703172334383,0.4772281856065732,0.4772991060029201,0.47558225178284835,0.4773688753576383,0.476225655921433,0.47743807981085273,0.47658898154080964,0.46911626796052097,0.47679366702274206,0.4774916170939757,0.47694705126389975,0.47703424383387166,0.47707872241394744,0.4771288924598727,0.5227646151576769,0.4929640256099418,0.5116281772827213,0.5227646151576769,0.5124499618177508,0.5137162449147522,0.5003927157037141,0.5152742235002219,0.503616270125354,0.5173068553788741,0.5059542147163715,0.48288788469172345,0.5075881888193842,0.5196014804741784,0.5089801655696274,0.5099040699478787,0.5104338839908615,0.5110334738153546,0.5219250036524145,0.5507286071754232,0.6385490792156292,0.727996478678774,0.6438702669502179,0.6524700027346109,0.5793521034598712,0.6638210481785535,0.5940760953532122,0.6796204750171685,0.6057222605945489,0.52013986713077,0.6145425311800399,0.6987561125310426,0.6223703911553806,0.6278581198367762,0.6311019383578865,0.6347525098531047,0.48033315918787717
wn18rr-hake,0.4519783024888322,0.49042756860242503,0.514996809189534,0.5312699425654116,0.5446713465220165,0.5559987236758137,0.5657306955966817,0.5716336949585195,0.5778557753669432,0.5845564773452456,3368.6091257179323,0.49695157482990004,0.4667599720083975,0.5062981105668299,0.5311406578026592,0.5479356193142058,0.5629811056682995,0.5741777466759972,0.584149755073478,0.5897480755773268,0.5958712386284115,0.6023442967109867,3192.73233030091,0.5126967815566682,0.5693342131349611,0.0638558432470259,0.007818404478656404,0.0009001049685094472,0.006599895031490552,0.005366223466293445,0.03421973407977607,0.004096396081175647,0.02375787263820854,0.0028131560531840447,0.018264520643806858,0.11798460461861442,0.014846046186144157,0.0017414275717284817,0.012552484254723583,0.010921723482955115,0.009637421273617915,0.00862296866495607,0.5210859261875508,0.4714231563864174,0.5693342131349611,0.8240027991602519,0.13182992220725107,0.04223484963240109,0.5157196672883765,0.5157197189869801,0.5099426293143803,0.5152761083987437,0.5157197189869801,0.515361574302606,0.5154527088456132,0.5129044696081295,0.5155305088023839,0.513980500395004,0.5156199677382517,0.5144769636630786,0.5038833835960322,0.5147330700208367,0.5156808840063359,0.5149201859921895,0.5150781636759625,0.5151606714194751,0.515219853451992,0.571061536788163,0.5320530984001525,0.5588473863191139,0.571061536788163,0.5601467148073049,0.5618329967102678,0.5421606370790886,0.5635587278737579,0.5476838439320738,0.5659965542525097,0.5509475915773127,0.5188806485936319,0.5529777715860762,0.5684109884489805,0.5547286939292928,0.556308181368969,0.5572640529504326,0.558051996726798,0.5688171734426765,0.602119780732447,0.7292162351294611,0.8240027991602519,0.7377536738978306,0.7494751574527642,0.6408546186144157,0.7618964310706788,0.6663750874737578,0.7802659202239328,0.6829513645906228,0.5623771201972741,0.6940167949615116,0.8000349895031491,0.7040325402379286,0.7131735479356193,0.719034289713086,0.7241077676696991,0.5146536721078965
wn18rr-hitter,0.4617102744097,0.49585194639438424,0.5167517549457562,0.530472239948947,0.5445118059987237,0.5555201021059348,0.5647734524569241,0.5727504786215698,0.5778557753669431,0.5842373962986598,2275.114231014678,0.5024026930702814,0.48915325402379284,0.5225682295311407,0.5437368789363191,0.5577326801959412,0.5699790062981106,0.581000699790063,0.5899230230930721,0.5983205038488454,0.6039188243526942,0.6098670398880336,2100.618789363191,0.5292702865539898,0.5754101256097565,0.06380335899230231,0.007737928621413577,0.000883484954513646,0.006535747609050619,0.005293911826452065,0.03400979706088174,0.004046536039188244,0.023477956613016094,0.0027618381152320973,0.018006473058082572,0.11822953114065779,0.014685094471658501,0.0016987403778866341,0.0124271052017728,0.010764270718784365,0.009528079076277117,0.00853549490708343,0.5330674619752026,0.4878037630377554,0.5754101256097565,0.81433304055986,0.12727106806989336,0.041688610531383334,0.5259114472256259,0.525911487023754,0.5206398478108684,0.5255002781233932,0.525911487023754,0.5255889254048833,0.5256541618653082,0.5233765543547687,0.5257368235361376,0.5242816791731437,0.52581333816733,0.5247007664054043,0.5149104296488831,0.5249833641518116,0.5258657969041216,0.5251658001534566,0.5252775685123836,0.5253840822093834,0.5254445124302154,0.577927458848648,0.5413803973242478,0.5660783395317316,0.577927458848648,0.5674183771804989,0.5685949529439535,0.550847061905646,0.5704223478299587,0.5553865550834687,0.5726348873187885,0.5582156272737521,0.5285939940353919,0.5604669212495956,0.5747849575059044,0.5621566758140751,0.5633327877337657,0.5645333366167301,0.5653097928383427,0.5774251729305548,0.603025967209837,0.7203046188416202,0.81433304055986,0.7291265512246092,0.7372094628895713,0.6397135499501665,0.7504544477274534,0.6603629233199737,0.7675968050202655,0.6747669354496681,0.5640780682461928,0.6868680967679394,0.7856083807142241,0.6963531679132624,0.7033029579762435,0.7105441946961366,0.7153479050981676,0.5292308067000216
wn18rr-interacte,0.4333120612635609,0.4610721123165284,0.4811742182514358,0.49298021697511163,0.501754945756222,0.5089342693044033,0.5146777281429483,0.518985322271857,0.5224952137843012,0.5261646458200383,5189.65938098277,0.46556508963376364,0.4613365990202939,0.49002799160251925,0.5092722183344996,0.5190692792162351,0.5276417074877536,0.5346396081175647,0.5404128761371588,0.5447865640307907,0.5484604618614416,0.5516095171448565,4989.228831350595,0.49287114750028144,0.5227954996695386,0.057575227431770466,0.006656752974107767,0.0007440517844646606,0.005607067879636109,0.004525309073944483,0.03029216235129461,0.0034377186843946813,0.02080709120597154,0.0023337998600419874,0.01586773967809657,0.10941217634709587,0.012855143456962915,0.0014394681595521343,0.010837998600419873,0.009339698090572827,0.008224720083974808,0.007363346551590078,0.49283287104193335,0.46022929863465206,0.5227954996695386,0.6864044487120065,0.02923175613428569,0.013550732525220295,0.4888669011271768,0.4888669370027031,0.48534465374372776,0.4885873031041863,0.4888669370027031,0.48864702466821686,0.48868666807233474,0.48718075292774454,0.48873541449004626,0.48784059700142973,0.48878562561868466,0.4881105383803165,0.48183549733059877,0.48827330414343023,0.48883477915999624,0.4884104650088793,0.4884627705418946,0.48851230946311436,0.4885588869108095,0.5251838241223417,0.5008234729463172,0.5166861746538661,0.5251838241223417,0.5175474434902677,0.518230889431209,0.5071912200960802,0.5193586530063877,0.5104965384188908,0.5208332970731269,0.5122379032448119,0.49315744408787515,0.5134630024763192,0.5229571631302872,0.5147193768159181,0.5152329037488969,0.5157650716024019,0.5163218442396799,0.5248509455108311,0.5446502223575351,0.6182100483491316,0.6864044487120065,0.6238224271354956,0.6284656932465714,0.5688559530625661,0.6367916045640852,0.5838815211497156,0.6482215089261101,0.5926478495845185,0.5210612573803617,0.5991324382988134,0.6660625107922168,0.6063402759475188,0.6093568709690123,0.6125357089842745,0.6158992832453294,0.49281894043133706
wn18rr-rescal,0.43873643905552007,0.46474154435226545,0.4797383535417996,0.48994894703254627,0.4971282705807275,0.5028717294192725,0.5079770261646459,0.5118059987236758,0.5151563497128271,0.517230376515635,5152.166879387364,0.4666362637341622,0.4595871238628412,0.48600419874037787,0.5006997900629812,0.511371588523443,0.518369489153254,0.5239678096571029,0.5285164450664801,0.5327151854443667,0.5362141357592722,0.5384884534639608,4938.0977956613015,0.48754114488869094,0.5166124565289301,0.05668299510146956,0.006490552834149754,0.0007444016794961513,0.00545690459528808,0.004422673198040588,0.029531140657802657,0.0033659902029391188,0.020218101236295777,0.0023081408910660137,0.01534289713086074,0.10839748075577327,0.012459762071378586,0.0014261721483554935,0.010488103568929322,0.009067279816055185,0.007999475157452763,0.007157297255267864,0.48821555802035516,0.45700784082956936,0.5166124565289301,0.6869163020033383,0.029463445720429873,0.012615161811603963,0.4829719279391491,0.4829719667194359,0.4798134791014115,0.4826492258329366,0.4829719667194359,0.48269868512935116,0.4827593110900431,0.4813373154986382,0.48280931983667363,0.4819140290234682,0.4828801540922755,0.4821122169711035,0.47676441638215605,0.4823070605487538,0.4829301394536079,0.48241247234387086,0.482492492089937,0.4825576695104363,0.48260428821352963,0.518781244653694,0.4935797754463187,0.50845411931974,0.518781244653694,0.5092228662324033,0.5103609561998937,0.4989693538023635,0.5114883102067247,0.5018373312493972,0.5136608740252757,0.5031605464295975,0.4871369908750342,0.5047616269749006,0.5158421368905648,0.5056866700049555,0.5064968589824532,0.5072513676698863,0.5078162858910535,0.5192791024539255,0.5315838013747392,0.6032970979918146,0.6869163020033383,0.6083851549080731,0.6163438089785186,0.5526041619332381,0.624500083687015,0.5656772665170146,0.6413840525872542,0.5724637722319668,0.511373538695967,0.5812184374990533,0.6598470553530912,0.5864115386596143,0.5911876058394603,0.5957612337510868,0.599248520898276,0.48748612727173674
